;Ferrovia;Linha;A;B;Extensão (km);x;AB;Instalada;Trens;Utilizada
1494;RMS;Ipero - Pinhalzinho;ZIP;ZLW;22,867;;ZIP - ZLW;6,28895;1;0,159009056
1495;RMS;Ipero - Pinhalzinho;ZLW;ZAT;20,373;;ZLW - ZAT;7,50528;1;0,133239533
1496;RMS;Ipero - Pinhalzinho;ZAT;ZAU;26,957;;ZAT - ZAU;7,28219;0;0
1497;RMS;Ipero - Pinhalzinho;ZAU;ZBZ;19,949;;ZAU - ZBZ;12,17231;0;0
1498;RMS;Ipero - Pinhalzinho;ZBZ;ZEU;25,735;;ZBZ - ZEU;9,46564;0;0
1499;RMS;Ipero - Pinhalzinho;ZEU;ZIX;22,407;;ZEU - ZIX;6,43154;0;0
1500;RMS;Ipero - Pinhalzinho;ZIX;ZNW;6,606;;ZIX - ZNW;37,52935;0;0
1501;RMS;Ipero - Pinhalzinho;ZNW;ZOK;23,628;;ZNW - ZOK;11,57677;0;0
1502;RMS;Ipero - Pinhalzinho;ZOK;ZXZ;19,353;;ZOK - ZXZ;22,48282;0;0
1503;RMS;Ipero - Pinhalzinho;ZXZ;ZOA;10,476;;ZXZ - ZOA;10,42135;1;0,095956858
1504;RMS;Ipero - Pinhalzinho;ZOA;LLZ;25,775;;ZOA - LLZ;4,30169;1;0,232466775
1505;RMS;Rubião Junior - Presidente Epitácio;ZRJ;ZUK;10,878;;ZRJ - ZUK;34,59961;0;0
1506;RMS;Rubião Junior - Presidente Epitácio;ZUK;ZNV;10,606;;ZUK - ZNV;24,02408;0;0
1507;RMS;Rubião Junior - Presidente Epitácio;ZNV;ZIG;8,531;Ramais desativados / em processos de reativação deliberação 302;ZNV - ZIG;0;0;0
1508;RMS;Rubião Junior - Presidente Epitácio;ZIG;ZWK;12,114;Ramais desativados / em processos de reativação deliberação 302;ZIG - ZWK;0;0;0
1509;RMS;Rubião Junior - Presidente Epitácio;ZWK;ZJV;12,67;Ramais desativados / em processos de reativação deliberação 302;ZWK - ZJV;0;0;0
1510;RMS;Rubião Junior - Presidente Epitácio;ZJV;ZAV;8,943;Ramais desativados / em processos de reativação deliberação 302;ZJV - ZAV;0;0;0
1511;RMS;Rubião Junior - Presidente Epitácio;ZAV;ZBJ;15,041;Ramais desativados / em processos de reativação deliberação 302;ZAV - ZBJ;0;0;0
1512;RMS;Rubião Junior - Presidente Epitácio;ZBJ;ZCC;14,301;Ramais desativados / em processos de reativação deliberação 302;ZBJ - ZCC;0;0;0
1513;RMS;Rubião Junior - Presidente Epitácio;ZCC;ZZH;10,086;Ramais desativados / em processos de reativação deliberação 302;ZCC - ZZH;0;0;0
1514;RMS;Rubião Junior - Presidente Epitácio;ZZH;ZMD;7,368;Ramais desativados / em processos de reativação deliberação 302;ZZH - ZMD;0;0;0
1515;RMS;Rubião Junior - Presidente Epitácio;ZMD;ZBB;9,095;Ramais desativados / em processos de reativação deliberação 302;ZMD - ZBB;0;0;0
1516;RMS;Rubião Junior - Presidente Epitácio;ZBB;ZBP;8,476;Ramais desativados / em processos de reativação deliberação 302;ZBB - ZBP;0;0;0
1517;RMS;Rubião Junior - Presidente Epitácio;ZBP;ZLP;11,211;Ramais desativados / em processos de reativação deliberação 302;ZBP - ZLP;0;0;0
1518;RMS;Rubião Junior - Presidente Epitácio;ZLP;ZIU;7,411;Ramais desativados / em processos de reativação deliberação 302;ZLP - ZIU;0;0;0
1519;RMS;Rubião Junior - Presidente Epitácio;ZIU;ZXV;8,346;Ramais desativados / em processos de reativação deliberação 302;ZIU - ZXV;0;0;0
1520;RMS;Rubião Junior - Presidente Epitácio;ZXV;ZKC;8,897;Ramais desativados / em processos de reativação deliberação 302;ZXV - ZKC;0;0;0
1521;RMS;Rubião Junior - Presidente Epitácio;ZKC;ZOU;10,547;Ramais desativados / em processos de reativação deliberação 302;ZKC - ZOU;0;0;0
1522;RMS;Rubião Junior - Presidente Epitácio;ZOU;ZSA;16,627;Ramais desativados / em processos de reativação deliberação 302;ZOU - ZSA;0;0;0
1523;RMS;Rubião Junior - Presidente Epitácio;ZSA;ZIM;17,77;Ramais desativados / em processos de reativação deliberação 302;ZSA - ZIM;0;0;0
1524;RMS;Rubião Junior - Presidente Epitácio;ZIM;ZPV;22,791;Ramais desativados / em processos de reativação deliberação 302;ZIM - ZPV;0;0;0
1525;RMS;Rubião Junior - Presidente Epitácio;ZPV;ZSY;14;Ramais desativados / em processos de reativação deliberação 302;ZPV - ZSY;0;0;0
1526;RMS;Rubião Junior - Presidente Epitácio;ZSY;ZCM;12,66;Ramais desativados / em processos de reativação deliberação 302;ZSY - ZCM;0;0;0
